,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
548575,434055,2019-09-08,2020-11-01,18.4321,14.6014,16.9181,16.7148,Monthly,OTC Global Holdings,9
548576,307144,2019-09-08,2020-12-01,24.9881,20.8352,23.1467,22.8509,Monthly,OTC Global Holdings,9
548577,434056,2019-09-08,2020-12-01,20.2477,16.7836,19.0019,18.8398,Monthly,OTC Global Holdings,9
548578,307145,2019-09-08,2021-01-01,30.4621,28.6575,28.6169,29.8474,Monthly,OTC Global Holdings,9
548579,434057,2019-09-08,2021-01-01,22.4582,19.4705,20.5121,20.9977,Monthly,OTC Global Holdings,9
548580,307146,2019-09-08,2021-02-01,30.3603,28.5569,28.4949,29.746,Monthly,OTC Global Holdings,9
548581,434058,2019-09-08,2021-02-01,21.8663,18.8804,19.9517,20.4066,Monthly,OTC Global Holdings,9
548582,307147,2019-09-08,2021-03-01,28.4604,22.1314,25.5558,25.5281,Monthly,OTC Global Holdings,9
548583,434059,2019-09-08,2021-03-01,20.9106,14.3441,18.2375,17.8325,Monthly,OTC Global Holdings,9
548584,307148,2019-09-08,2021-04-01,26.2582,19.9414,23.3889,23.3308,Monthly,OTC Global Holdings,9
548585,434060,2019-09-08,2021-04-01,19.5142,13.0014,16.8948,16.4517,Monthly,OTC Global Holdings,9
548586,307149,2019-09-08,2021-05-01,29.9095,23.6369,26.5323,26.7323,Monthly,OTC Global Holdings,9
548587,434061,2019-09-08,2021-05-01,20.189,14.454,17.8426,17.4299,Monthly,OTC Global Holdings,9
548588,307150,2019-09-08,2021-06-01,40.5165,36.3463,37.2358,37.9174,Monthly,OTC Global Holdings,9
548589,434062,2019-09-08,2021-06-01,21.7806,17.3393,19.2468,19.2263,Monthly,OTC Global Holdings,9
548806,183215,2019-09-09,2020-07-01,113.0947,108.9093,111.9779,109.6019,Monthly,OTC Global Holdings,9
548807,311123,2019-09-09,2020-07-01,31.4646,28.9118,29.0405,29.2878,Monthly,OTC Global Holdings,9
548808,183216,2019-09-09,2020-08-01,185.3456,181.7653,186.7882,182.4576,Monthly,OTC Global Holdings,9
548809,311124,2019-09-09,2020-08-01,36.99,34.9723,34.6657,35.1998,Monthly,OTC Global Holdings,9
548810,183217,2019-09-09,2020-09-01,39.7774,37.2443,38.8244,37.7984,Monthly,OTC Global Holdings,9
548811,311125,2019-09-09,2020-09-01,21.4224,19.5028,20.3636,20.2251,Monthly,OTC Global Holdings,9
548812,183218,2019-09-09,2020-10-01,27.5866,23.5678,26.3789,25.5178,Monthly,OTC Global Holdings,9
548813,311126,2019-09-09,2020-10-01,18.7276,15.0454,17.2626,17.1042,Monthly,OTC Global Holdings,9
548814,183219,2019-09-09,2020-11-01,24.0505,19.9679,22.7795,21.935,Monthly,OTC Global Holdings,9
548815,311127,2019-09-09,2020-11-01,18.07,14.3433,16.5971,16.3994,Monthly,OTC Global Holdings,9
548816,183220,2019-09-09,2020-12-01,24.4707,20.4235,23.2037,22.3878,Monthly,OTC Global Holdings,9
548817,311128,2019-09-09,2020-12-01,19.8312,16.4553,18.617,18.4591,Monthly,OTC Global Holdings,9
548818,183221,2019-09-09,2021-01-01,29.6845,27.9026,28.6688,29.0748,Monthly,OTC Global Holdings,9
548819,311129,2019-09-09,2021-01-01,21.9411,19.0046,20.0215,20.4949,Monthly,OTC Global Holdings,9
548820,183222,2019-09-09,2021-02-01,29.5437,27.7644,28.4916,28.9349,Monthly,OTC Global Holdings,9
548821,311130,2019-09-09,2021-02-01,21.339,18.4073,19.4522,19.8954,Monthly,OTC Global Holdings,9
548822,183223,2019-09-09,2021-03-01,27.6255,21.4762,25.4628,24.7761,Monthly,OTC Global Holdings,9
548823,311131,2019-09-09,2021-03-01,20.3583,13.9631,17.7411,17.3496,Monthly,OTC Global Holdings,9
548824,183224,2019-09-09,2021-04-01,25.4745,19.3133,23.339,22.6188,Monthly,OTC Global Holdings,9
548825,311132,2019-09-09,2021-04-01,18.9849,12.617,16.4106,15.9803,Monthly,OTC Global Holdings,9
548826,183225,2019-09-09,2021-05-01,28.9411,22.8323,26.3646,25.8478,Monthly,OTC Global Holdings,9
548827,311133,2019-09-09,2021-05-01,19.5904,13.9908,17.2861,16.8863,Monthly,OTC Global Holdings,9
548828,183226,2019-09-09,2021-06-01,39.1853,35.0987,36.9915,36.6456,Monthly,OTC Global Holdings,9
548829,311134,2019-09-09,2021-06-01,21.1376,16.7886,18.6472,18.6286,Monthly,OTC Global Holdings,9
549046,212579,2019-09-10,2020-07-01,114.4201,110.295,110.1045,110.9911,Monthly,OTC Global Holdings,9
549047,359963,2019-09-10,2020-07-01,31.9716,29.3927,29.5178,29.7723,Monthly,OTC Global Holdings,9
549048,212580,2019-09-10,2020-08-01,187.528,184.0825,182.4019,184.7755,Monthly,OTC Global Holdings,9
